Wiki_ID,genres
975900,"['Thriller', 'Adventure', 'Action', 'Science Fiction', 'Horror']"
171005,"['Drama', 'History']"
77856,"['Drama', 'Comedy', 'Science Fiction', 'Family Film', 'Musical']"
21926710,"['Comedy', 'Romance Film', 'Indie']"
156558,"['Drama', 'Crime']"
25960460,['Comedy']
261237,"['Comedy', 'Adventure', 'Action', 'Indie', 'World cinema']"
12008535,"['Drama', 'Comedy']"
4951456,"['Thriller', 'Adventure', 'Action', 'Crime']"
21449578,"['Drama', 'World cinema', 'History']"
12053509,"['Comedy', 'Romance Film']"
24761154,['World cinema']
5894429,"['Drama', 'Romance Film', 'History']"
12788657,"['Drama', 'Thriller', 'Crime', 'Mystery']"
4300418,"['Drama', 'Thriller', 'Adventure', 'Action', 'World cinema', 'Musical']"
9390791,"['Drama', 'Indie']"
164387,"['Drama', 'Comedy', 'Thriller', 'Crime', 'Mystery']"
164388,['Drama']
7707787,"['Drama', 'Romance Film', 'World cinema']"
3550323,"['Comedy', 'Thriller', 'Crime']"
1765938,"['Drama', 'Comedy', 'Adventure', 'Action']"
7460227,['Drama']
1305819,"['Drama', 'Indie', 'Science Fiction', 'Horror']"
6305925,"['Drama', 'Adventure', 'Indie', 'Science Fiction']"
23445121,"['Indie', 'Documentary']"
336846,"['Comedy', 'Romance Film', 'Musical', 'Teen']"
27463222,"['Thriller', 'Horror', 'Mystery']"
3033993,"['Drama', 'Romance Film', 'Documentary']"
1588008,"['Drama', 'Comedy', 'Documentary']"
5696825,"['Drama', 'Thriller', 'Horror']"
103021,"['Drama', 'Romance Film', 'Thriller', 'Adventure', 'Crime', 'Indie']"
1940449,"['Thriller', 'Adventure', 'Action', 'Crime', 'Science Fiction']"
6703617,"['Drama', 'Romance Film', 'Adventure', 'Action', 'World cinema', 'Science Fiction']"
362719,"['Adventure', 'Action', 'Science Fiction', 'Family Film']"
2870618,"['Drama', 'Indie', 'World cinema']"
4459059,"['Comedy', 'Romance Film', 'Indie']"
4069274,"['Drama', 'Romance Film', 'Thriller', 'Indie']"
3681139,['Comedy']
5549065,"['Drama', 'Crime', 'Horror', 'Musical']"
14543900,"['Drama', 'Comedy']"
171058,"['Drama', 'Indie', 'Documentary']"
2608958,"['Comedy', 'Adventure', 'Action', 'Crime']"
21618909,"['Drama', 'Comedy', 'Crime']"
2546429,"['Indie', 'Horror', 'Teen']"
31686022,"['Drama', 'Indie']"
