Language,Occurences
English,40891
Hindi,3744
Spanish,3673
French,3422
Silent film,3183
Italian,2533
Japanese,2295
German,2262
Tamil,1896
Malayalam,1448
Standard Mandarin,1213
Telugu language,1197
Russian,1024
Cantonese,876
Korean,779
Dutch,597
Swedish,509
Arabic,499
Standard Cantonese,481
Czech,478
Bengali,457
Danish,442
Portuguese,398
Polish,370
Urdu,359
Tagalog language,351
Kannada,329
Mandarin Chinese,325
Serbian language,310
Hebrew,266
Hungarian language,241
Thai,219
Persian,209
Norwegian,208
Turkish,194
Greek,187
Filipino language,177
Punjabi language,177
Finnish,172
Chinese language,129
Croatian language,123
Romanian,116
American English,114
Indonesian,111
Malay,98
Serbo-Croatian,98
Latin,95
Sinhala,83
Bulgarian,79
Oriya,78
Marathi,73
Vietnamese,70
Icelandic,68
Khmer language,62
Yiddish,57
Ukrainian,48
Nepali,44
Albanian language,43
Slovak,41
Afrikaans,41
Estonian,38
Bhojpuri,36
Taiwanese,35
Assamese,33
American Sign,33
Kurdish language,33
Swahili,33
Armenian,32
Bosnian language,31
Georgian,31
Irish,31
Min Nan,31
Slovenian language,28
Catalan language,27
Gujarati,24
Hokkien,23
Zulu,23
Wolof,22
Dari,21
Burmese,21
Pashto language,21
Swiss German,19
Tibetan languages,19
France,19
"Farsi, Western",18
Shanghainese,18
Macedonian,16
Xhosa,16
Azerbaijani language,16
Mongolian language,16
Navajo,15
Welsh,15
Romani language,15
Bambara language,13
Māori language,12
Lithuanian language,11
Standard Tibetan,11
Flemish language,11
Amharic,11
Inuktitut,10
Scottish Gaelic language,10
Brazilian Portuguese,10
Quechua,10
Gaelic,9
South African English,9
Rajasthani language,9
Uzbek language,9
"Khmer, Central",8
Esperanto,8
Kinyarwanda language,8
Somali,8
Egyptian Arabic,7
Plautdietsch,7
"Chinese, Hakka",7
Aramaic language,7
Sanskrit,6
Hindustani language,6
Sioux language,6
Luxembourgish language,6
Sami languages,6
Sicilian,6
French Sign,6
,6
"Maya, Yucatán",5
Hawaiian language,5
"Saami, North",5
Galician,5
Indian English,5
Sotho language,5
Chechen,5
Assyrian Neo-Aramaic,4
Australian English,4
Klingon language,4
Belarusian language,4
"Thai, Northeastern",4
Fula language,4
Napoletano-Calabrese,4
Cebuano language,4
Hopi,3
Hariyani,3
Dzongkha,3
Tzotzil language,3
Chadian Arabic,3
Teochew,3
"Chinese, Jinyu",3
Corsican,3
Old English language,3
Nahuatl languages,3
"Frisian, Western",2
Hausa,2
Classical Arabic,2
Tulu,2
Scanian,2
"Fulfulde, Adamawa",2
Akan,2
Hmong language,2
Haryanvi,2
Crow,2
Gumatj,2
Hungary,2
Hiligaynon language,2
Ancient Greek,2
"Egyptian, Ancient",2
Yolngu Matha,2
"Apache, Western",2
Shanxi,2
Algonquin,2
Aboriginal Malay languages,2
Japan,2
Jamaican Creole English,2
Cree language,2
Mohawk,2
Hazaragi,2
Awadhi,2
Hinglish,2
Mende,2
Osetin,1
Chewa language,1
Maninka language,1
Deutsch,1
Chhattisgarhi,1
Hainanese,1
Sunda,1
Assyrian language,1
Papiamento language,1
Palawa kani,1
Aceh,1
Tok Pisin,1
Guanzhong Hua,1
Friulian,1
Cheyenne,1
Judeo-Georgian,1
Tamang language,1
Sumerian,1
Banyumasan language,1
Venetian,1
Kriolu,1
Picard,1
Maasai,1
Korean Sign,1
Southwestern Mandarin,1
Australian Aboriginal Pidgin English,1
Krio,1
Pawnee,1
Kuna language,1
