tconst,Wiki_ID,Name,Freebase_ID,Release_Date
tt0228333,975900,ghosts of mars,/m/03vyhn,2001
tt0245916,3196793,getting away with murder: the jonbenet ramsey mystery,/m/08yl5d,2000
tt0094806,28463795,brun bitter,/m/0crgdbh,1988
tt0094320,9363483,white of the eye,/m/0285_cd,1987
tt0029852,10408933,alexander's ragtime band,/m/02qc0j7,1938
tt0200545,9997961,contigo y aqui,/m/06_y2j7,1974
tt0021335,175026,sarah and son,/m/017n1p,1930
tt0119548,6631279,little city,/m/0gffwj,1997
tt0097499,171005,henry v,/m/016ywb,1989
tt0058331,77856,mary poppins,/m/0kcn7,1964
tt0061637,32456683,die fahne von kriwoj rog,/m/0gyryjt,1967
tt0104601,33420460,keep the change,/m/0gj30jx,1992
tt0020823,175024,the devil's holiday,/m/017n1b,1930
tt0892904,21926710,white on rice,/m/05p45cv,2009
tt13667080,20604092,anbu thozhi,/m/0523t_1,2007
tt0079552,21344842,middle age spread,/m/05f5_5y,1979
tt0255819,156558,baby boy,/m/014k4y,2001
tt0367546,11448183,bindiya chamkegi,/m/02rc_h4,1984
tt0255668,9633533,vandanam,/m/02pml15,1989
tt0051577,31323091,emilia galotti,/m/0gjd9q4,1958
tt0088157,27611999,special effects,/m/04j284s,1984
tt0234253,31025505,el misterioso senor marquina,/m/0gg5xnj,1943
tt0366182,29528534,anokha rishta,/m/04j0lfk,1986
tt0033150,1364293,they knew what they wanted,/m/04wy0v,1940
tt0178022,26067101,siam sunset,/m/0b6c_nw,1999
tt0178356,9912533,cuando los duendes cazan perdices,/m/06_y54s,1955
tt0099054,9548445,archie: to riverdale and back again,/m/02pjlrp,1990
tt13906516,32445576,vinayaka geleyara balaga,/m/0gyv1h1,2011
tt0084373,26878691,mysterious island,/m/0f400r,1982
tt0166158,25960460,daddy and them,/m/0b6kc_5,2001
tt0080801,261237,the gods must be crazy,/m/01mrrd,1980
tt0405393,12008535,rudo y cursi,/m/02vlsqt,2008
tt0097670,4951456,kinjite: forbidden subjects,/m/0cws46,1989
tt0116480,21449578,hamsun,/m/05f6kpj,1996
tt0304329,23799443,libertad bajo palabra,/m/06_vg9f,1961
tt0097790,12053509,loverboy,/m/02vn81r,1989
tt0106541,29198000,chandra mukhi,/m/0dll97s,1993
tt0031516,1369204,juarez,/m/04x8zs,1939
tt0479879,12371532,chasing ghosts: beyond the arcade,/m/02w1jsk,2007
tt0087489,32104837,it came upon the midnight clear,/m/0g4zl4c,1984
tt1152403,20334086,vipers,/m/04zyc0t,2008
tt0378118,5915856,ivar,/m/0fdc85,2003
tt0074653,2647998,the human tornado,/m/07v6f3,1976
tt0053410,21958879,vent'anni,/m/05p89qm,1949
tt0073705,1254263,shivers,/m/04mhwd,1975
tt0320792,11353896,zindagi,/m/02r8pmz,1976
tt1065099,24761154,my friend ganesha,/m/080bxrj,2007
tt0013951,7364373,the covered wagon,/m/0kv612,1923
tt0132524,31026308,sombra verde,/m/0crvlhb,1954
tt0426863,11996174,aaj ka andha kanoon,/m/02vlbrf,2003
tt0050646,7028314,the little hut,/m/0h10pz,1957
tt0323365,31156641,nariman,/m/0gh8wn7,2001
tt0256351,32224700,a romance of wastdale,/m/0gy0wck,1921
tt0043482,25413122,drums in the deep south,/m/04j1nd9,1951
tt0063787,5664529,vixen!,/m/0dyy_v,1968
tt0488380,5894429,closing the ring,/m/0fc8w8,2007
tt0062755,12788657,the boston strangler,/m/02x4zpv,1968
tt0234326,31153831,neela ponman,/m/0gh6n43,1975
tt0347167,4300418,the hero: love story of a spy,/m/0bvx7h,2003
tt0362718,9390791,hermanas,/m/0286_1d,2005
tt0475994,8669450,one six right,/m/027d9tv,2005
tt0214042,10419077,raampur ka lakshman,/m/02qcf9g,1972
tt0090836,2154704,choke canyon,/m/06qv1c,1986
tt1792799,33059372,chromeskull: laid to rest 2,/m/0h54gth,2011
tt0039313,3740032,desperate,/m/09yd9c,1947
tt0450258,9380065,alien express,/m/0286kkz,2005
tt0078718,164387,...and justice for all,/m/015wmg,1979
tt0063642,7767613,star!,/m/026ccts,1968
tt1489877,24863901,1 a minute,/m/09gnwkp,2010
tt0020253,30002176,the pagan,/m/09pgd14,1929
tt0079239,164388,the great santini,/m/015wmt,1979
tt0046757,22985953,beachhead,/m/064kyn2,1954
tt0352230,7707787,carmen,/m/0bd62lc,2003
tt0090366,1630107,a zed & two noughts,/m/05j038,1985
tt0175877,7572051,made men,/m/0kvbmd,1999
tt0114660,3550323,things to do in denver when you're dead,/m/09kzfd,1995
tt0274789,1072373,minsaara kanavu,/m/043j2x,1997
tt0077369,1765938,convoy,/m/05v5ws,1978
tt0799954,7460227,the bridge,/m/0kv80y,2006
tt0092033,26615659,swati,/m/0bhbzbr,1986
tt0025196,13613357,grand canary,/m/03cbvzw,1934
tt0087015,1305819,c.h.u.d.,/m/04rjwf,1984
tt14338824,12438366,mehndi waley hath,/m/02w5vj3,2000
tt0125113,32229606,garryowen,/m/0gy0rwv,1920
tt0297034,14494806,a boy named sue,/m/03d57tv,2000
tt0155561,9169526,las boludas,/m/027_08f,1993
tt0189470,9912537,la delatora,/m/06_y54c,1955
tt0030424,27002888,la marseillaise,/m/0br_wmf,1938
tt0017369,13602366,the seventh bandit,/m/03cbkd2,1926
tt0102564,18524941,nudist colony of the dead,/m/04f1_g9,1991
tt0045817,19031505,the girl on the pier,/m/04jkr54,1953
tt0041762,23666949,la portatrice di pane,/m/06zrc_8,1950
tt0028455,180917,valiant is the word for carrie,/m/018qbn,1936
tt0469263,6305925,the astronaut farmer,/m/0g08ws,2006
tt0067800,196176,straw dogs,/m/01bwgr,1971
tt0032725,33872851,the lone wolf meets a lady,/m/09vnx57,1940
tt0315394,34702021,chino,/m/0j3h2kb,1991
tt0101627,2509881,critters 3,/m/07jwzw,1991
tt0065556,28742538,city beneath the sea,/m/0cz9fjr,1971
tt0470398,12409066,kasak,/m/02w41jc,2005
tt0343449,26137128,the bone snatcher,/m/0b6dn1z,2003
tt1280011,23445121,no impact man: the documentary,/m/06wbrsg,2009
tt0011761,15739559,the third eye,/m/03nrw6d,1920
tt0092969,16304395,enemy territory,/m/03wggk7,1987
tt0096775,36151270,agneekaal,/m/0k0hkgm,1990
tt0029924,31505444,blockade,/m/09vv2_n,1938
tt0077631,336846,grease,/m/01xlqd,1978
tt1452628,27463222,vanishing on 7th street,/m/0c037x9,2010
tt0042579,3249964,house by the river,/m/0917bx,1950
tt0062108,21906878,pedro paramo,/m/05pchb8,1967
tt0025198,15007384,le grand jeu,/m/03h4h5p,1934
tt0259242,31751930,chanakya chandragupta,/m/0gtvj4d,1977
tt0025605,23968563,open all night,/m/076w7md,1934
tt0469828,11692389,the snow queen,/m/02rp4qv,2005
tt0019457,31256008,tesha,/m/0gjd7dp,1928
tt0017632,6330031,annie laurie,/m/0g19zh,1927
tt0033117,8366514,susan and god,/m/0270xln,1940
tt0012513,29146560,the nut,/m/0dlm9db,1921
tt0038262,3310726,yolanda and the thief,/m/094x3b,1945
tt0416508,3033993,becoming jane,/m/08m1s2,2007
tt0113283,1588008,heidi fleiss: hollywood madam,/m/05dpjl,1995
tt0937391,12491178,a broken life,/m/02w8t1b,2007
tt0106664,5696825,the dark half,/m/0d_ng1,1993
tt2373668,6795113,rettai jadai vayasu,/m/0gp9cs,1997
tt0112272,30173306,ab insaf hoga,/m/0g59khw,1995
tt1692889,30405742,plug & pray,/m/0g5qgd2,2010
tt0023479,32852698,sinners in the sun,/m/0b4bp1l,1932
tt0077928,103021,midnight express,/m/0p_sc,1978
tt0058786,21793185,az eletbe tancoltatott leany,/m/05mr7x1,1964
