,key_0,Wiki_ID,tconst,Freebase_ID,movie,release_date,genres,countries,Ratio_Female_to_Total,num_female,num_male,languages,total_gross,gross,ratio_of_home_country,country,Region,treatment_region,n_languages,n_countries,propensity_score
175,"('United States of America', 'Canada')",74962,tt0027977,/m/0jz2p,modern times,1936.0,"['Silent film', 'Satire', 'Drama', 'Comedy', 'Family Film']",['United States of America'],0.15384615384615385,2.0,11.0,['English'],463618.0,163577.0,0.3528271119758077,"['United States of America', 'Canada']",North America,0,1,1,0.010676275081154887
3784,"('United Kingdom',)",3724436,tt0026029,/m/09xcn4,the 39 steps,1935.0,"['Thriller', 'Black-and-white', 'Mystery', 'Suspense', 'Crime Thriller', 'Spy']",['United Kingdom'],0.3333333333333333,4.0,8.0,['English'],51711.0,51711.0,1.0,['United Kingdom'],Europe,1,1,1,0.010298175689416137
5876,"('Italy',)",11719444,tt0417944,/m/02rq062,manuale d'amore,2005.0,"['Romantic drama', 'Comedy']",['Italy'],0.5,3.0,3.0,['Italian'],22079820.0,19605249.0,0.8879261243977532,['Italy'],Europe,1,1,1,0.11766990042882075
2148,"('United States of America', 'Canada')",1467021,tt0418753,/m/053tj7,inside deep throat,2005.0,"['Film & Television History', 'Biography', 'Indie', 'Film', 'Documentary']",['United States of America'],,0.0,0.0,['English'],709832.0,691880.0,0.974709508728826,"['United States of America', 'Canada']",North America,0,1,1,0.11766990042882075
5349,"('Netherlands',)",8637472,tt0796240,/m/027b_yp,zoop in india,2006.0,['Family Film'],['Netherlands'],,,,['Dutch'],2081934.0,2081934.0,1.0,['Netherlands'],Europe,1,1,1,0.12150618972278616
3049,"('Australia',)",2511267,tt0424880,/m/07jzqm,candy,2006.0,"['Romantic drama', 'Romance Film', 'Drama', 'Indie', 'World cinema']",['Australia'],0.3333333333333333,12.0,24.0,['English'],2105096.0,1084873.0,0.5153555942341822,['Australia'],Oceania,0,1,1,0.12150618972278616
5099,"('Spain',)",7400687,tt0300016,/m/0kv6mx,i love you baby,2001.0,"['Romantic comedy', 'LGBT', 'World cinema', 'Gay', 'Gay Interest', 'Drama', 'Comedy', 'Gay Themed', 'Romantic drama', 'Romance Film']",['Spain'],0.0,0.0,2.0,['Spanish'],426309.0,426309.0,1.0,['Spain'],Europe,1,1,1,0.10335963270907067
241,"('United States of America', 'Canada')",101523,tt0261392,/m/0prrm,jay and silent bob strike back,2001.0,"['Road movie', 'Stoner film', 'Buddy film', 'Comedy']",['United States of America'],0.2894736842105263,11.0,27.0,['English'],32977285.0,30085147.0,0.9122990870837305,"['United States of America', 'Canada']",North America,0,1,1,0.10335963270907067
3767,"('France',)",3684509,tt0402158,/m/09v947,l'empire des loups,2005.0,"['Action/Adventure', 'Thriller', 'World cinema', 'Crime Thriller']",['France'],0.25,2.0,6.0,['French'],12147839.0,5152138.0,0.42411971380259483,['France'],Europe,1,1,1,0.11766990042882075
2444,"('United States of America', 'Canada')",1789996,tt0384806,/m/05x4gk,the amityville horror,2005.0,"['Thriller', 'Horror', 'Supernatural', 'Remake', 'Cult', 'Mystery', 'Drama', 'Film adaptation']",['United States of America'],0.4,4.0,6.0,['English'],107125409.0,65233369.0,0.6089439434485613,"['United States of America', 'Canada']",North America,0,1,1,0.11766990042882075
5940,"('France',)",12129633,tt0208491,/m/02vqrly,ginostra,2002.0,"['Crime Fiction', 'Thriller', 'Gangster Film', 'Indie', 'Action/Adventure', 'Mystery', 'Drama', 'Crime Thriller', 'Action Thrillers', 'Action']",['France'],0.625,5.0,3.0,['English'],177098.0,62765.0,0.3544082937130854,['France'],Europe,1,1,1,0.10678584141223844
582,"('United States of America', 'Canada')",261023,tt0253867,/m/01mqjj,the sweetest thing,2002.0,"['Romantic comedy', 'Sex comedy', 'Gross-out film', 'Comedy', 'Gross out', 'Romance Film']",['United States of America'],0.6428571428571429,9.0,5.0,['English'],58215221.0,24718164.0,0.4245996764317016,"['United States of America', 'Canada']",North America,0,1,1,0.10678584141223844
8555,"('Norway',)",33346413,tt0472767,/m/0h7lpxz,elsk meg i morgen,2005.0,"['Comedy film', 'Drama']",['Norway'],0.0,0.0,1.0,[],3302433.0,3302433.0,1.0,['Norway'],Europe,1,0,1,0.11396612249729375
3968,"('United States of America', 'Canada')",4134311,tt0447016,/m/0bkzdc,emmanuel's gift,2005.0,"['Illnesses & Disabilities', 'Culture & Society', 'Biography', 'Sports', 'Social issues', 'Documentary']",['United States of America'],0.0,0.0,1.0,[],23728.0,23728.0,1.0,"['United States of America', 'Canada']",North America,0,0,1,0.11396612249729375
8333,"('United Kingdom',)",31276579,tt1012729,/m/0gj95f0,helen,2009.0,"['Drama', 'Indie']","['United States of America', 'Canada', 'United Kingdom', 'Germany']",0.6666666666666666,6.0,3.0,['English'],34820.0,34820.0,1.0,['United Kingdom'],Europe,1,1,4,0.16387039903588627
