,tconst,Wiki_ID,Freebase_ID,movie,country,gross
0,tt0090769,3454830,/m/09db8r,the boy in blue,Domestic,"$275,000"
1,tt0377752,1586160,/m/05dj6d,dear frankie,Domestic,"$18,025"
2,tt0377752,1586160,/m/05dj6d,dear frankie,Germany,"$460,782"
3,tt0377752,1586160,/m/05dj6d,dear frankie,United Kingdom,"$303,430"
4,tt0377752,1586160,/m/05dj6d,dear frankie,Spain,"$281,066"
5,tt0377752,1586160,/m/05dj6d,dear frankie,Italy,"$42,624"
6,tt0377752,1586160,/m/05dj6d,dear frankie,Portugal,"$5,887"
7,tt0377752,1586160,/m/05dj6d,dear frankie,Mexico,"$189,449"
8,tt0377752,1586160,/m/05dj6d,dear frankie,Chile,"$52,521"
9,tt0377752,1586160,/m/05dj6d,dear frankie,Argentina,"$30,396"
10,tt0377752,1586160,/m/05dj6d,dear frankie,New Zealand,"$123,746"
11,tt0377752,1586160,/m/05dj6d,dear frankie,Australia,"$102,889"
12,tt0377752,1586160,/m/05dj6d,dear frankie,Russia/CIS,"$32,454"
13,tt0377752,1586160,/m/05dj6d,dear frankie,Hong Kong,"$13,560"
14,tt0367089,1720492,/m/05q_dw,the squid and the whale,Domestic,"$7,372,734"
15,tt0367089,1720492,/m/05q_dw,the squid and the whale,United Kingdom,"$1,229,887"
16,tt0367089,1720492,/m/05q_dw,the squid and the whale,France,"$291,444"
17,tt0367089,1720492,/m/05q_dw,the squid and the whale,Spain,"$273,230"
18,tt0367089,1720492,/m/05q_dw,the squid and the whale,Sweden,"$191,015"
19,tt0367089,1720492,/m/05q_dw,the squid and the whale,Israel,"$93,441"
20,tt0367089,1720492,/m/05q_dw,the squid and the whale,Portugal,"$68,800"
21,tt0367089,1720492,/m/05q_dw,the squid and the whale,Germany,"$54,271"
22,tt0367089,1720492,/m/05q_dw,the squid and the whale,Denmark,"$53,710"
23,tt0367089,1720492,/m/05q_dw,the squid and the whale,Norway,"$41,191"
24,tt0367089,1720492,/m/05q_dw,the squid and the whale,Belgium,"$22,976"
25,tt0367089,1720492,/m/05q_dw,the squid and the whale,South Africa,"$11,509"
26,tt0367089,1720492,/m/05q_dw,the squid and the whale,Romania,"$5,856"
27,tt0367089,1720492,/m/05q_dw,the squid and the whale,Brazil,"$205,132"
