,tconst,Wiki_ID,Freebase_ID,movie,country,gross
0,tt0053964,25840557,/m/09v8kdb,les jeux de l'amour,France,"$4,581"
1,tt1381067,35336357,/m/0j9nwdn,katanga business,Belgium,"$99,263"
2,tt1381067,35336357,/m/0j9nwdn,katanga business,France,"$6,444"
3,tt0038499,183740,/m/019305,duel in the sun,Original Release,Domestic
4,tt0038499,183740,/m/019305,duel in the sun,2008 Re-release,France
5,tt0038499,183740,/m/019305,duel in the sun,Domestic,"$20,408,163"
6,tt0038499,183740,/m/019305,duel in the sun,France,"$20,608"
7,tt0804505,5208736,/m/0d7y2q,married life,Domestic,"$1,507,990"
8,tt0804505,5208736,/m/0d7y2q,married life,Germany,"$273,448"
9,tt0804505,5208736,/m/0d7y2q,married life,France,"$149,865"
10,tt0804505,5208736,/m/0d7y2q,married life,South Africa,"$98,578"
11,tt0804505,5208736,/m/0d7y2q,married life,Spain,"$90,868"
12,tt0804505,5208736,/m/0d7y2q,married life,United Kingdom,"$79,006"
13,tt0804505,5208736,/m/0d7y2q,married life,Austria,"$59,208"
14,tt0804505,5208736,/m/0d7y2q,married life,Portugal,"$44,318"
15,tt0804505,5208736,/m/0d7y2q,married life,United Arab Emirates,"$33,713"
16,tt0804505,5208736,/m/0d7y2q,married life,Kuwait,"$31,817"
17,tt0804505,5208736,/m/0d7y2q,married life,Switzerland,"$22,750"
18,tt0804505,5208736,/m/0d7y2q,married life,Lebanon,"$13,704"
19,tt0804505,5208736,/m/0d7y2q,married life,Egypt,"$10,500"
20,tt0804505,5208736,/m/0d7y2q,married life,Netherlands,"$1,370"
21,tt0804505,5208736,/m/0d7y2q,married life,Australia,"$346,245"
22,tt0804505,5208736,/m/0d7y2q,married life,New Zealand,"$114,466"
23,tt0804505,5208736,/m/0d7y2q,married life,Taiwan,"$10,469"
24,tt0168172,3298253,/m/0942v9,simon sez,Domestic,"$292,152"
25,tt0464029,4121843,/m/0bk7kq,grbavica,Original Release,15 markets
26,tt0464029,4121843,/m/0bk7kq,grbavica,2009 Re-release,Argentina
27,tt0464029,4121843,/m/0bk7kq,grbavica,2011 Re-release,Uruguay
28,tt0464029,4121843,/m/0bk7kq,grbavica,Germany,"$300,022"
29,tt0464029,4121843,/m/0bk7kq,grbavica,Spain,"$250,275"
30,tt0464029,4121843,/m/0bk7kq,grbavica,Norway,"$37,580"
31,tt0464029,4121843,/m/0bk7kq,grbavica,Italy,"$31,233"
32,tt0464029,4121843,/m/0bk7kq,grbavica,Czech Republic,"$14,152"
33,tt0464029,4121843,/m/0bk7kq,grbavica,Türkiye,"$14,071"
34,tt0464029,4121843,/m/0bk7kq,grbavica,United Kingdom,"$7,397"
35,tt0464029,4121843,/m/0bk7kq,grbavica,Hungary,"$1,682"
36,tt0464029,4121843,/m/0bk7kq,grbavica,Romania,"$1,588"
37,tt0464029,4121843,/m/0bk7kq,grbavica,Bulgaria,$932
38,tt0464029,4121843,/m/0bk7kq,grbavica,Mexico,"$56,105"
39,tt0464029,4121843,/m/0bk7kq,grbavica,Argentina,"$23,859"
40,tt0464029,4121843,/m/0bk7kq,grbavica,Uruguay,"$4,044"
41,tt0464029,4121843,/m/0bk7kq,grbavica,Brazil,$377
42,tt0464029,4121843,/m/0bk7kq,grbavica,Domestic,"$43,460"
43,tt0464029,4121843,/m/0bk7kq,grbavica,South Korea,"$23,392"
44,tt0464029,4121843,/m/0bk7kq,grbavica,Taiwan,"$10,378"
