,tconst,Wiki_ID,Freebase_ID,movie,country,gross
0,tt0790709,13463471,/m/03c64n5,maldeamores,Domestic,"$22,000"
1,tt0117690,5432379,/m/0dlm5p,some mother's son,Domestic,"$671,437"
2,tt0093483,8060080,/m/026q20r,malone,Domestic,"$3,060,858"
3,tt0756204,4930872,/m/0cvqsg,chai lai,Thailand,"$391,100"
4,tt0156934,24584915,/m/080j6g3,random hearts,Domestic,"$31,502,583"
5,tt0327210,479589,/m/02fhx5,uncle nino,Domestic,"$165,000"
6,tt0079180,386476,/m/0227ry,the frisco kid,Domestic,"$9,346,177"
7,tt0119809,1223386,/m/04jvls,nowhere,Domestic,"$194,201"
8,tt1227787,21481795,/m/05h4m4j,london river,Original Release,Belgium
9,tt1227787,21481795,/m/05h4m4j,london river,2010 Re-release,"EMEA, LATAM"
10,tt1227787,21481795,/m/05h4m4j,london river,2011 Re-release,Domestic
11,tt1227787,21481795,/m/05h4m4j,london river,Spain,"$412,385"
12,tt1227787,21481795,/m/05h4m4j,london river,Italy,"$324,215"
13,tt1227787,21481795,/m/05h4m4j,london river,Belgium,"$73,176"
14,tt1227787,21481795,/m/05h4m4j,london river,South Africa,"$54,261"
15,tt1227787,21481795,/m/05h4m4j,london river,Denmark,"$53,109"
16,tt1227787,21481795,/m/05h4m4j,london river,Argentina,"$77,714"
17,tt1227787,21481795,/m/05h4m4j,london river,Colombia,"$64,891"
18,tt1227787,21481795,/m/05h4m4j,london river,Uruguay,"$15,911"
19,tt1227787,21481795,/m/05h4m4j,london river,Domestic,"$7,200"
20,tt0051204,5150901,/m/0d53h9,woman in a dressing gown,United Kingdom,"$21,371"
21,tt2404463,36389682,/m/0k95mpr,the heat,Domestic,"$159,582,188"
22,tt2404463,36389682,/m/0k95mpr,the heat,United Kingdom,"$11,222,329"
23,tt2404463,36389682,/m/0k95mpr,the heat,Germany,"$5,089,964"
24,tt2404463,36389682,/m/0k95mpr,the heat,Netherlands,"$2,651,807"
25,tt2404463,36389682,/m/0k95mpr,the heat,France,"$2,104,327"
26,tt2404463,36389682,/m/0k95mpr,the heat,Sweden,"$1,655,311"
27,tt2404463,36389682,/m/0k95mpr,the heat,Belgium,"$1,488,553"
28,tt2404463,36389682,/m/0k95mpr,the heat,United Arab Emirates,"$1,063,742"
29,tt2404463,36389682,/m/0k95mpr,the heat,Austria,"$1,049,591"
30,tt2404463,36389682,/m/0k95mpr,the heat,South Africa,"$586,775"
31,tt2404463,36389682,/m/0k95mpr,the heat,Hungary,"$584,281"
32,tt2404463,36389682,/m/0k95mpr,the heat,Norway,"$581,284"
33,tt2404463,36389682,/m/0k95mpr,the heat,Ukraine,"$535,943"
34,tt2404463,36389682,/m/0k95mpr,the heat,Denmark,"$534,945"
35,tt2404463,36389682,/m/0k95mpr,the heat,Spain,"$518,951"
36,tt2404463,36389682,/m/0k95mpr,the heat,Portugal,"$474,997"
37,tt2404463,36389682,/m/0k95mpr,the heat,Israel,"$473,510"
38,tt2404463,36389682,/m/0k95mpr,the heat,Poland,"$430,399"
39,tt2404463,36389682,/m/0k95mpr,the heat,Lebanon,"$413,487"
40,tt2404463,36389682,/m/0k95mpr,the heat,Bahrain,"$314,234"
41,tt2404463,36389682,/m/0k95mpr,the heat,Finland,"$279,729"
42,tt2404463,36389682,/m/0k95mpr,the heat,Türkiye,"$159,305"
43,tt2404463,36389682,/m/0k95mpr,the heat,Nigeria,"$156,038"
44,tt2404463,36389682,/m/0k95mpr,the heat,Iceland,"$154,836"
45,tt2404463,36389682,/m/0k95mpr,the heat,Croatia,"$125,100"
46,tt2404463,36389682,/m/0k95mpr,the heat,Bulgaria,"$105,202"
47,tt2404463,36389682,/m/0k95mpr,the heat,Slovenia,"$88,960"
48,tt2404463,36389682,/m/0k95mpr,the heat,Czech Republic,"$73,156"
49,tt2404463,36389682,/m/0k95mpr,the heat,Egypt,"$58,567"
50,tt2404463,36389682,/m/0k95mpr,the heat,Slovakia,"$57,281"
51,tt2404463,36389682,/m/0k95mpr,the heat,Serbia and Montenegro,"$56,751"
52,tt2404463,36389682,/m/0k95mpr,the heat,East Africa,"$33,153"
53,tt2404463,36389682,/m/0k95mpr,the heat,Mexico,"$4,567,663"
54,tt2404463,36389682,/m/0k95mpr,the heat,Brazil,"$3,552,393"
55,tt2404463,36389682,/m/0k95mpr,the heat,Venezuela,"$1,289,222"
56,tt2404463,36389682,/m/0k95mpr,the heat,Peru,"$606,128"
57,tt2404463,36389682,/m/0k95mpr,the heat,Colombia,"$577,966"
58,tt2404463,36389682,/m/0k95mpr,the heat,Argentina,"$339,110"
59,tt2404463,36389682,/m/0k95mpr,the heat,Chile,"$330,539"
60,tt2404463,36389682,/m/0k95mpr,the heat,Ecuador,"$175,299"
61,tt2404463,36389682,/m/0k95mpr,the heat,Uruguay,"$82,193"
62,tt2404463,36389682,/m/0k95mpr,the heat,Bolivia,"$45,742"
63,tt2404463,36389682,/m/0k95mpr,the heat,Australia,"$13,429,466"
64,tt2404463,36389682,/m/0k95mpr,the heat,Russia/CIS,"$4,905,113"
65,tt2404463,36389682,/m/0k95mpr,the heat,New Zealand,"$1,602,826"
66,tt2404463,36389682,/m/0k95mpr,the heat,Hong Kong,"$586,619"
67,tt2404463,36389682,/m/0k95mpr,the heat,Singapore,"$280,188"
68,tt2404463,36389682,/m/0k95mpr,the heat,Malaysia,"$250,934"
69,tt2404463,36389682,/m/0k95mpr,the heat,Philippines,"$183,466"
70,tt2404463,36389682,/m/0k95mpr,the heat,Thailand,"$43,709"
71,tt1599378,28848113,/m/0ddgtj1,yoga hakwon,South Korea,"$1,402,791"
72,tt0109288,1039551,/m/040ns1,blankman,Domestic,"$7,941,977"
73,tt0161081,594815,/m/02tktw,what lies beneath,Domestic,"$155,464,351"
74,tt0161081,594815,/m/02tktw,what lies beneath,United Kingdom,"$19,911,075"
75,tt0161081,594815,/m/02tktw,what lies beneath,Spain,"$11,729,827"
76,tt0161081,594815,/m/02tktw,what lies beneath,France,"$10,375,781"
77,tt0161081,594815,/m/02tktw,what lies beneath,Germany,"$9,636,178"
78,tt0161081,594815,/m/02tktw,what lies beneath,Italy,"$8,274,859"
79,tt0161081,594815,/m/02tktw,what lies beneath,Greece,"$1,850,000"
80,tt0161081,594815,/m/02tktw,what lies beneath,Belgium,"$1,823,871"
81,tt0161081,594815,/m/02tktw,what lies beneath,Sweden,"$1,510,228"
82,tt0161081,594815,/m/02tktw,what lies beneath,Switzerland,"$1,191,443"
83,tt0161081,594815,/m/02tktw,what lies beneath,Denmark,"$884,559"
84,tt0161081,594815,/m/02tktw,what lies beneath,Austria,"$788,520"
85,tt0161081,594815,/m/02tktw,what lies beneath,South Africa,"$680,298"
86,tt0161081,594815,/m/02tktw,what lies beneath,Finland,"$614,713"
87,tt0161081,594815,/m/02tktw,what lies beneath,Türkiye,"$587,278"
88,tt0161081,594815,/m/02tktw,what lies beneath,Egypt,"$276,823"
89,tt0161081,594815,/m/02tktw,what lies beneath,Iceland,"$240,420"
90,tt0161081,594815,/m/02tktw,what lies beneath,Mexico,"$7,782,574"
91,tt0161081,594815,/m/02tktw,what lies beneath,Brazil,"$3,902,561"
92,tt0161081,594815,/m/02tktw,what lies beneath,Argentina,"$3,326,487"
93,tt0161081,594815,/m/02tktw,what lies beneath,Netherlands Antilles,"$1,594,857"
94,tt0161081,594815,/m/02tktw,what lies beneath,Venezuela,"$197,000"
95,tt0161081,594815,/m/02tktw,what lies beneath,Australia,"$4,651,385"
96,tt0161081,594815,/m/02tktw,what lies beneath,Taiwan,"$3,980,000"
97,tt0161081,594815,/m/02tktw,what lies beneath,Japan,"$3,778,991"
98,tt0161081,594815,/m/02tktw,what lies beneath,Hong Kong,"$1,246,945"
99,tt0161081,594815,/m/02tktw,what lies beneath,Singapore,"$875,000"
100,tt0161081,594815,/m/02tktw,what lies beneath,Malaysia,"$575,378"
101,tt0161081,594815,/m/02tktw,what lies beneath,South Korea,"$492,115"
102,tt0161081,594815,/m/02tktw,what lies beneath,Thailand,"$277,510"
103,tt0161081,594815,/m/02tktw,what lies beneath,Indonesia,"$73,035"
104,tt0114214,740824,/m/037c_d,the quick and the dead,Domestic,"$18,636,537"
105,tt0082764,3161156,/m/08w9yq,modern romance,Original Release,Domestic
106,tt0082764,3161156,/m/08w9yq,modern romance,2022 Re-release,Australia
107,tt0082764,3161156,/m/08w9yq,modern romance,Domestic,"$2,863,642"
108,tt1099212,14277334,/m/03nm_fh,twilight,Original Release,57 markets
109,tt1099212,14277334,/m/03nm_fh,twilight,Twilight/New Moon,Domestic
110,tt1099212,14277334,/m/03nm_fh,twilight,2018 Re-release,Australia
111,tt1099212,14277334,/m/03nm_fh,twilight,2021 Re-release,Australia
112,tt1099212,14277334,/m/03nm_fh,twilight,Domestic,"$193,962,473"
113,tt1099212,14277334,/m/03nm_fh,twilight,Brazil,"$27,353,149"
114,tt1099212,14277334,/m/03nm_fh,twilight,Mexico,"$9,842,699"
115,tt1099212,14277334,/m/03nm_fh,twilight,Venezuela,"$2,766,971"
116,tt1099212,14277334,/m/03nm_fh,twilight,Argentina,"$1,844,290"
117,tt1099212,14277334,/m/03nm_fh,twilight,Colombia,"$1,461,655"
118,tt1099212,14277334,/m/03nm_fh,twilight,Chile,"$1,290,455"
119,tt1099212,14277334,/m/03nm_fh,twilight,Peru,"$993,676"
120,tt1099212,14277334,/m/03nm_fh,twilight,Central America,"$709,508"
121,tt1099212,14277334,/m/03nm_fh,twilight,Ecuador,"$315,415"
122,tt1099212,14277334,/m/03nm_fh,twilight,Uruguay,"$106,674"
123,tt1099212,14277334,/m/03nm_fh,twilight,Bolivia,"$71,198"
124,tt1099212,14277334,/m/03nm_fh,twilight,Germany,"$23,734,298"
125,tt1099212,14277334,/m/03nm_fh,twilight,France,"$23,534,630"
126,tt1099212,14277334,/m/03nm_fh,twilight,United Kingdom,"$16,305,715"
127,tt1099212,14277334,/m/03nm_fh,twilight,Spain,"$15,830,746"
128,tt1099212,14277334,/m/03nm_fh,twilight,Italy,"$14,410,854"
129,tt1099212,14277334,/m/03nm_fh,twilight,Belgium,"$3,294,541"
130,tt1099212,14277334,/m/03nm_fh,twilight,Switzerland,"$2,986,625"
131,tt1099212,14277334,/m/03nm_fh,twilight,Greece,"$2,891,150"
132,tt1099212,14277334,/m/03nm_fh,twilight,Sweden,"$2,172,455"
133,tt1099212,14277334,/m/03nm_fh,twilight,Austria,"$2,032,590"
