,tconst,Wiki_ID,Freebase_ID,movie,country,gross
0,tt0801526,4871852,/m/0crygn,the tracey fragments,Domestic,"$32,645"
1,tt0801526,4871852,/m/0crygn,the tracey fragments,Portugal,"$6,147"
2,tt0801526,4871852,/m/0crygn,the tracey fragments,Taiwan,"$3,526"
3,tt0163651,2580403,/m/07pd_j,american pie,Domestic,"$102,561,004"
4,tt0163651,2580403,/m/07pd_j,american pie,United Kingdom,"$22,123,753"
5,tt0163651,2580403,/m/07pd_j,american pie,Australia,"$10,298,605"
6,tt0120836,3036635,/m/08m7pl,lost & found,Domestic,"$6,552,255"
7,tt1049402,24770245,/m/080lkt7,howl,Original Release,11 markets
8,tt1049402,24770245,/m/080lkt7,howl,2015 Re-release,APAC
9,tt1049402,24770245,/m/080lkt7,howl,Domestic,"$617,334"
10,tt1049402,24770245,/m/080lkt7,howl,Italy,"$305,337"
11,tt1049402,24770245,/m/080lkt7,howl,United Kingdom,"$186,662"
12,tt1049402,24770245,/m/080lkt7,howl,Spain,"$59,136"
13,tt1049402,24770245,/m/080lkt7,howl,Germany,"$49,160"
14,tt1049402,24770245,/m/080lkt7,howl,France,"$14,414"
15,tt1049402,24770245,/m/080lkt7,howl,Belgium,"$10,597"
16,tt1049402,24770245,/m/080lkt7,howl,Austria,"$8,505"
17,tt1049402,24770245,/m/080lkt7,howl,Portugal,"$4,205"
18,tt1049402,24770245,/m/080lkt7,howl,Vietnam,"$240,038"
19,tt1049402,24770245,/m/080lkt7,howl,Malaysia,"$96,382"
20,tt1049402,24770245,/m/080lkt7,howl,Australia,"$13,671"
21,tt1049402,24770245,/m/080lkt7,howl,Taiwan,"$9,369"
22,tt0057370,15930358,/m/03qh6p9,nunca pasa nada,Bolivia,"$6,221"
23,tt0118055,2012442,/m/06d_d3,up close & personal,Domestic,"$51,088,705"
24,tt0081698,1640125,/m/05jvc0,used cars,Domestic,"$11,715,321"
25,tt0442371,14924899,/m/03h1tz2,ninette,Spain,"$1,813,790"
26,tt0084917,8202728,/m/026w0m_,the world according to garp,Domestic,"$29,712,172"
27,tt0111503,68374,/m/0hwpz,true lies,Domestic,"$146,282,411"
28,tt0114069,733927,/m/036r3f,outbreak,Domestic,"$67,659,560"
29,tt0439123,11292060,/m/02r6l5y,azur et asmar,France,"$11,067,898"
30,tt0439123,11292060,/m/02r6l5y,azur et asmar,Belgium,"$401,515"
31,tt0439123,11292060,/m/02r6l5y,azur et asmar,Spain,"$147,160"
32,tt0439123,11292060,/m/02r6l5y,azur et asmar,Italy,"$92,622"
33,tt0439123,11292060,/m/02r6l5y,azur et asmar,United Kingdom,"$70,131"
34,tt0439123,11292060,/m/02r6l5y,azur et asmar,Greece,"$48,600"
35,tt0439123,11292060,/m/02r6l5y,azur et asmar,Lebanon,"$39,944"
36,tt0439123,11292060,/m/02r6l5y,azur et asmar,United Arab Emirates,"$7,469"
37,tt0439123,11292060,/m/02r6l5y,azur et asmar,Netherlands,$344
38,tt0439123,11292060,/m/02r6l5y,azur et asmar,Brazil,"$1,855"
39,tt0439123,11292060,/m/02r6l5y,azur et asmar,South Korea,"$51,413"
