,tconst,Wiki_ID,Freebase_ID,movie,country,gross
0,tt1821607,27719912,/m/052_nrl,siruthai,United Kingdom,"$39,626"
1,tt1821607,27719912,/m/052_nrl,siruthai,Malaysia,"$552,074"
2,tt0213847,484102,/m/02g0rt,malena,Domestic,"$3,448,233"
3,tt0213847,484102,/m/02g0rt,malena,Germany,"$237,604"
4,tt0213847,484102,/m/02g0rt,malena,United Kingdom,"$60,896"
5,tt0213847,484102,/m/02g0rt,malena,Austria,"$22,938"
6,tt0213847,484102,/m/02g0rt,malena,Czech Republic,"$1,565"
7,tt0213847,484102,/m/02g0rt,malena,Russia/CIS,"$180,000"
8,tt0213847,484102,/m/02g0rt,malena,Australia,"$134,091"
9,tt0108649,384673,/m/0220ld,zero patience,Domestic,"$217,300"
10,tt0142688,417891,/m/025_5c,the ninth gate,Domestic,"$18,661,336"
11,tt0410454,3048276,/m/08n0z5,the work and the glory,Domestic,"$3,347,647"
12,tt0816258,4747302,/m/0cl5zx,pokiri,United Kingdom,"$93,651"
13,tt0088275,5766332,/m/0f3jf1,the times of harvey milk,Original Release,Domestic
14,tt0088275,5766332,/m/0f3jf1,the times of harvey milk,2009 Re-release,Germany
15,tt0088275,5766332,/m/0f3jf1,the times of harvey milk,Germany,"$16,386"
16,tt0088275,5766332,/m/0f3jf1,the times of harvey milk,Domestic,"$13,801"
17,tt0208988,1693867,/m/05nyqk,get carter,Domestic,"$14,967,182"
18,tt0208988,1693867,/m/05nyqk,get carter,Germany,"$536,705"
19,tt0208988,1693867,/m/05nyqk,get carter,France,"$227,427"
20,tt0208988,1693867,/m/05nyqk,get carter,Czech Republic,"$69,405"
21,tt0208988,1693867,/m/05nyqk,get carter,Bulgaria,"$32,680"
22,tt0208988,1693867,/m/05nyqk,get carter,Australia,"$194,013"
23,tt0033238,2728423,/m/07_cx8,waterloo bridge,South Korea,"$31,111"
24,tt0053290,7741845,/m/0kvg9k,solomon and sheba,South Korea,"$16,094"
25,tt0112641,695780,/m/033hmj,casino,Original Release,"Domestic, EMEA"
26,tt0112641,695780,/m/033hmj,casino,2022 Re-release,Australia
27,tt0112641,695780,/m/033hmj,casino,Domestic,"$42,512,375"
28,tt0112641,695780,/m/033hmj,casino,France,"$12,279,960"
29,tt0112641,695780,/m/033hmj,casino,Italy,"$5,527,393"
30,tt0112641,695780,/m/033hmj,casino,Spain,"$4,381,588"
31,tt0112641,695780,/m/033hmj,casino,Germany,"$4,271,235"
32,tt0450440,4340578,/m/0bx_ym,ik omhels je met 1000 armen,Netherlands,"$403,394"
33,tt0086837,1195560,/m/04gcyg,2010: the year we make contact,Domestic,"$40,400,657"
34,tt1170359,15477301,/m/03mbmq0,kala malam bulan mengambang,Malaysia,"$161,789"
35,tt0378025,12317186,/m/02v_2jd,hawayein,Domestic,"$409,978"
36,tt0378025,12317186,/m/02v_2jd,hawayein,India,"$111,282"
37,tt0182295,296997,/m/01rcz0,love's labour's lost,Domestic,"$299,792"
