,tconst,Wiki_ID,Freebase_ID,movie,country,gross
0,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Domestic,"$31,487,293"
1,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,United Kingdom,"$1,070,241"
2,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Denmark,"$196,796"
3,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,France,"$190,745"
4,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Germany,"$181,237"
5,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,South Africa,"$50,433"
6,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Spain,"$25,802"
7,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Iceland,"$16,276"
8,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Italy,"$15,228"
9,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Belgium,"$5,027"
10,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Türkiye,"$4,180"
11,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Mexico,"$200,548"
12,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Dominican Republic,"$14,141"
13,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Bolivia,"$10,056"
14,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Singapore,"$62,724"
15,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,New Zealand,"$16,906"
16,tt0981227,14238581,/m/03cyslc,nick and norah's infinite playlist,Australia,"$8,998"
17,tt0104231,705925,/m/034bm_,far and away,Domestic,"$58,883,840"
18,tt0272338,630721,/m/02ylg6,punch-drunk love,Original Release,15 markets
19,tt0272338,630721,/m/02ylg6,punch-drunk love,2020 Re-release,APAC
20,tt0272338,630721,/m/02ylg6,punch-drunk love,Domestic,"$17,844,216"
21,tt0272338,630721,/m/02ylg6,punch-drunk love,France,"$1,647,331"
22,tt0272338,630721,/m/02ylg6,punch-drunk love,United Kingdom,"$521,261"
23,tt0272338,630721,/m/02ylg6,punch-drunk love,Germany,"$458,033"
24,tt0272338,630721,/m/02ylg6,punch-drunk love,Italy,"$275,185"
25,tt0272338,630721,/m/02ylg6,punch-drunk love,Netherlands,"$138,980"
26,tt0272338,630721,/m/02ylg6,punch-drunk love,Austria,"$41,865"
27,tt0272338,630721,/m/02ylg6,punch-drunk love,Greece,"$39,200"
28,tt0272338,630721,/m/02ylg6,punch-drunk love,Finland,"$23,869"
29,tt0272338,630721,/m/02ylg6,punch-drunk love,Czech Republic,"$20,760"
30,tt0272338,630721,/m/02ylg6,punch-drunk love,Australia,"$840,999"
31,tt0272338,630721,/m/02ylg6,punch-drunk love,South Korea,"$10,065"
32,tt0272338,630721,/m/02ylg6,punch-drunk love,New Zealand,$460
33,tt0272338,630721,/m/02ylg6,punch-drunk love,Mexico,"$124,059"
34,tt0272338,630721,/m/02ylg6,punch-drunk love,Argentina,"$84,182"
35,tt0272338,630721,/m/02ylg6,punch-drunk love,Chile,"$34,243"
36,tt0088993,63310,/m/0h0h0,day of the dead,Domestic,"$5,000,000"
37,tt0338097,1343517,/m/04v99w,head in the clouds,Original Release,11 markets
38,tt0338097,1343517,/m/04v99w,head in the clouds,2008 Re-release,South Korea
39,tt0338097,1343517,/m/04v99w,head in the clouds,Italy,"$1,972,835"
40,tt0338097,1343517,/m/04v99w,head in the clouds,Spain,"$216,551"
41,tt0338097,1343517,/m/04v99w,head in the clouds,Türkiye,"$160,612"
42,tt0338097,1343517,/m/04v99w,head in the clouds,Greece,"$23,050"
43,tt0338097,1343517,/m/04v99w,head in the clouds,Austria,"$18,958"
44,tt0338097,1343517,/m/04v99w,head in the clouds,United Arab Emirates,"$16,070"
45,tt0338097,1343517,/m/04v99w,head in the clouds,Bulgaria,"$11,643"
46,tt0338097,1343517,/m/04v99w,head in the clouds,Domestic,"$398,278"
47,tt0338097,1343517,/m/04v99w,head in the clouds,Russia/CIS,"$341,988"
48,tt0338097,1343517,/m/04v99w,head in the clouds,South Korea,"$154,253"
49,tt0338097,1343517,/m/04v99w,head in the clouds,Taiwan,"$17,048"
50,tt0338097,1343517,/m/04v99w,head in the clouds,New Zealand,"$7,817"
51,tt0114938,18163109,/m/04cr1c3,wild bill,Domestic,"$2,193,982"
